Region,Parameter,R2_log,MAE_log,Samples
5-10 & 30-75,Kd,-0.40073254288985916,2.664884425700161,71
10-20 & 1-10,Kd,-0.48174593832824786,2.352863084284742,25
1-5 & 30-75,Kd,-0.5674839033288301,2.8997084379665625,39
10-20 & 10-30,Kd,-0.5855411148015341,2.693900921700022,60
1-5 & 10-30,Kd,-0.7061196089653594,3.2666918800435822,28
10-20 & 30-75,Kd,-0.7619396177169677,3.043439589296085,104
5-10 & 10-30,Kd,-0.8302778118349239,3.2185442841161644,31
5-10 & 1-10,Kd,-1.6484293290502428,4.035820887952769,11
10-20 & 1-10,Ki,-2.1927069082730064,0.6462521496642246,25
10-20 & 10-30,Ki,-3.6749524008050454,0.5160056559671585,60
5-10 & 1-10,Ki,-3.8482122224318305,0.9584738399159046,11
10-20 & 1-10,Kp,-5.6467963412028865,0.2209886709861703,25
5-10 & 30-75,Ki,-6.030180952541095,0.4177856371015705,71
10-20 & 30-75,Kp,-7.42700458550264,0.2636313286566486,104
1-5 & 30-75,Ki,-7.86100109392426,0.6906934908310384,39
10-20 & 10-30,Kp,-8.68835197104843,0.3167351207635793,60
10-20 & 30-75,Ki,-9.443341578492026,0.43954038163545844,104
5-10 & 10-30,Ki,-9.824461125365113,0.615990069379078,31
5-10 & 10-30,Kp,-11.025969628613277,0.37099532435978416,31
1-5 & 30-75,Kp,-11.778253701612405,0.6720442532691703,39
1-5 & 10-30,Ki,-12.26485865177854,0.8517587489778179,28
5-10 & 30-75,Kp,-15.155477062243861,0.380458311417985,71
1-5 & 10-30,Kp,-17.676584831323733,0.5533647962205103,28
5-10 & 1-10,Kp,-25.132621838309543,0.34380390599651756,11
