type,K,T1,T2,Td,zeta,omega_n,num,den,sprunghoehe_target,sprungzeit_target,Kp,Ki,Kd,Tu,Tg,Overshoot,Label,ISE,SSE,SettlingTime,RiseTime
PT1,2.455920281591772,36.23763667170316,,,,,[2.455920281591772],"[36.23763667170316, 1]",1,20,2.7890601842201077,0.7038897371814768,0.5064311590818635,11.905952976488244,3.5017508754377187,199.0,good,-36.84974706606528,199.0,0.2114971348992334,0.14297580476803698
PT1+Td,2.340705608370487,29.79516251124653,,2.118115655932173,,,[2.340705608370487],"[29.79516251124653, 1]",1,20,2.3740318981226456,0.1226540122839903,0.697000469756287,26.313156578289146,5.102551275637818,199.0,good,-54.410972690686705,199.0,0.20568738041373144,0.12105767770709067
PT1+Td,2.9233232740656905,45.47024323762043,,0.7400593226261716,,,[2.9233232740656905],"[45.47024323762043, 1]",1,20,2.680050055793314,0.0874466402686052,0.1054416347818308,31.015507753876932,5.60280140070035,199.0,good,-87.3934543532179,199.0,0.1637962200591814,0.12360026918830737
Osc2,1.3533322047144831,,,,0.5337066538237785,1.7156462129698662,[3.983454753974637],"[1, 1.8313035989391697, 2.9434419280778434]",1,20,0.9316036001292732,0.07428504775798,0.9829004975506196,0.5002501250625312,0.400200100050025,199.0,good,413.9142406663831,199.0,0.6731077422130218,0.1757418160362158
PT1+Td,0.9361506785989298,36.6146084792533,,2.1894843584978605,,,[0.9361506785989298],"[36.6146084792533, 1]",1,20,0.7431328013796935,0.0292807033724314,0.1441884414920853,165.28264132066033,42.82141070535268,199.0,good,2299.0857660774054,199.0,0.022389968030191297,0.014963471617269894
Osc2,2.8851092833182825,,,,0.520615401866751,0.3798538821660091,[0.4162894520107869],"[1, 0.39551556302900465, 0.14428897179658834]",1,20,2.80215986889275,0.7355526598637079,0.085895801345187,2.7013506753376686,1.200600300150075,199.0,good,1.5218367729320454,199.0,0.5204282666544663,0.490612017761619
PT1,1.2790219213824314,11.853314197287956,,,,,[1.2790219213824314],"[11.853314197287956, 1]",1,20,0.9546923532980882,0.9765848721268192,0.0467422785229074,9.004502251125562,3.301650825412706,199.0,good,-16.726002518549894,199.0,0.14488238985040552,0.11785576780792675
PT1,2.245809906295187,43.37166100595374,,,,,[2.245809906295187],"[43.37166100595374, 1]",1,20,1.3714337860478318,0.5104650253883432,0.7644562249446523,17.6088044022011,6.003001500750375,199.0,good,-73.94510559052904,199.0,0.11175534738655164,0.06032472661743047
Osc2,2.450308836559606,,,,0.885200053677961,1.6829248917274,[6.939853366510701],"[1, 2.979450408986142, 2.832236191195681]",1,20,2.1845729967729715,0.1614691400879103,0.2099956416170578,0.7003501750875437,0.400200100050025,199.0,good,71.774991916142,199.0,0.9483495834575348,0.5580085001038184
PT2+Td,2.737565244745465,24.88285878166065,1.4774102904604534,0.9587466483910988,,,[2.737565244745465],[36.76219162 26.36026907  1.        ],1,20,1.160078956654758,0.460132754324823,0.5332781569261811,13.006503251625812,4.902451225612806,0.541719248907082,good,,,,
