Region,Parameter,R2_log,MAE_log,Samples
10-20 & 10-30,Kd,0.991991400718689,0.16353566944599152,35
20-30 & 30-75,Kp,0.9880444407463074,0.03109121322631836,91
20-30 & 10-30,Kp,0.9870666265487671,0.03847576305270195,49
5-10 & 10-30,Kd,0.986720085144043,0.2509572505950928,19
5-10 & 10-30,Ki,0.9855180978775024,0.05268462002277374,19
1-5 & 30-75,Kd,0.9850007891654968,0.25327348709106445,45
5-10 & 30-75,Kp,0.9844525456428528,0.03206779435276985,54
5-10 & 10-30,Kp,0.9840025901794434,0.03988266736268997,19
5-10 & 1-10,Kp,0.9835823178291321,0.029586099088191986,11
10-20 & 10-30,Kp,0.9833435416221619,0.03689444437623024,35
20-30 & 1-10,Kp,0.9781287908554077,0.03223477676510811,16
20-30 & 1-10,Ki,0.978003203868866,0.05456337332725525,16
10-20 & 30-75,Kd,0.9761226773262024,0.2372373342514038,90
1-5 & 30-75,Kp,0.9738263487815857,0.040591299533843994,45
10-20 & 30-75,Kp,0.9716138243675232,0.04946143925189972,90
20-30 & 30-75,Ki,0.9715819358825684,0.06284262239933014,91
5-10 & 1-10,Ki,0.9707980751991272,0.04940520599484444,11
5-10 & 30-75,Ki,0.9697610139846802,0.06110383942723274,54
10-20 & 10-30,Ki,0.9679490923881531,0.06172408536076546,35
10-20 & 1-10,Ki,0.9674026370048523,0.1045490950345993,16
1-5 & 30-75,Ki,0.9662479758262634,0.06481337547302246,45
20-30 & 10-30,Ki,0.9635800719261169,0.07426349818706512,49
5-10 & 30-75,Kd,0.9601606130599976,0.3033826947212219,54
10-20 & 1-10,Kp,0.9547920823097229,0.08558036386966705,16
20-30 & 30-75,Kd,0.9479427337646484,0.28687384724617004,91
1-5 & 10-30,Kd,0.9432352781295776,0.41377851366996765,11
20-30 & 10-30,Kd,0.9422906041145325,0.37609633803367615,49
10-20 & 1-10,Kd,0.9387314915657043,0.5149487853050232,16
10-20 & 30-75,Ki,0.9385943412780762,0.08458442986011505,90
1-5 & 10-30,Ki,0.9203541874885559,0.11668796092271805,11
1-5 & 10-30,Kp,0.8910595774650574,0.08141022175550461,11
5-10 & 1-10,Kd,0.8714874982833862,0.494527131319046,11
20-30 & 1-10,Kd,0.8418243527412415,0.533379077911377,16
