Region,Parameter,R2,MAE,Samples
1-5 & 1-10,Kd,-0.035118937492370605,9120.439453125,189
1-5 & 1-10,Kp,-0.03729093074798584,14253.5712890625,189
20-30 & 1-10,Kd,-0.04000556468963623,6013.83935546875,85
1-5 & 1-10,Ki,-0.04117143154144287,5738.3505859375,189
10-20 & T1<1,Kd,-0.043763041496276855,3684.460693359375,47
20-30 & T1<1,Kd,-0.04695022106170654,14643.4423828125,70
20-30 & 1-10,Kp,-0.04812014102935791,9579.642578125,85
20-30 & T1<1,Kp,-0.04896819591522217,21412.162109375,70
20-30 & T1<1,Ki,-0.050902724266052246,7862.87158203125,70
10-20 & 1-10,Kd,-0.057827115058898926,11612.001953125,216
10-20 & 1-10,Kp,-0.06008613109588623,17673.15234375,216
10-20 & T1<1,Kp,-0.06322276592254639,6658.56494140625,47
10-20 & 1-10,Ki,-0.06423485279083252,6884.0869140625,216
20-30 & 1-10,Ki,-0.0644218921661377,4125.77734375,85
K<1 & 10-30,Kd,-0.06621479988098145,9651.4169921875,487
K<1 & 30-75,Kd,-0.06640291213989258,11768.974609375,204
K<1 & 10-30,Kp,-0.07016348838806152,14862.2548828125,487
K<1 & 30-75,Kp,-0.07119309902191162,18000.083984375,204
K<1 & 10-30,Ki,-0.077720046043396,5914.935546875,487
K<1 & 30-75,Ki,-0.0789726972579956,7055.29150390625,204
1-5 & 10-30,Kd,-0.0912177562713623,13656.3359375,204
1-5 & 10-30,Kp,-0.09562504291534424,20754.19140625,204
K<1 & 1-10,Kd,-0.10052764415740967,23845.07421875,101
K<1 & 1-10,Kp,-0.10343527793884277,35252.5703125,101
1-5 & 10-30,Ki,-0.1042565107345581,8102.7646484375,204
10-20 & T1<1,Ki,-0.10713052749633789,3408.136962890625,47
K<1 & 1-10,Ki,-0.10840916633605957,13195.947265625,101
5-10 & 1-10,Kd,-0.10853409767150879,8273.2783203125,127
5-10 & 1-10,Kp,-0.11655950546264648,12607.0205078125,127
5-10 & T1<1,Kd,-0.12150073051452637,9292.408203125,20
5-10 & 1-10,Ki,-0.1295309066772461,4955.3935546875,127
5-10 & T1<1,Kp,-0.1345539093017578,14981.638671875,20
5-10 & T1<1,Ki,-0.15807855129241943,6264.24365234375,20
