Region,Parameter,R2,MAE,Samples
K: 10-20 | T1: 1-10,Kd,0.9824310541152954,0.44736531376838684,225
K: 20-30 | T1: T1<1,Kd,0.9768239855766296,0.5156255960464478,66
K: 1-5 | T1: 1-10,Kd,0.9763859510421753,0.3515341877937317,111
K: K<1 | T1: 10-30,Kd,0.9639911651611328,0.44180554151535034,13
K: >30 | T1: T1<1,Kd,0.9618902206420898,0.5482109785079956,130
K: >30 | T1: 1-10,Kd,0.9571609497070312,0.4684871733188629,131
K: 10-20 | T1: T1<1,Kd,0.9479840993881226,0.8225395679473877,41
K: 5-10 | T1: 1-10,Kd,0.9238901138305664,0.689050555229187,124
K: 1-5 | T1: 10-30,Kd,0.8940024375915527,0.4552808105945587,108
K: 20-30 | T1: 1-10,Kd,0.8696888089179993,0.9067049622535706,79
K: 5-10 | T1: T1<1,Kd,0.8219703435897827,1.1505136489868164,23
K: K<1 | T1: 1-10,Kd,0.5238481760025024,0.3087117373943329,37
K: K<1 | T1: 10-30,Ki,0.9622318148612976,1.0846288204193115,13
K: 1-5 | T1: 10-30,Ki,0.9396052956581116,2.182410717010498,108
K: >30 | T1: T1<1,Ki,0.9221403002738953,2.539245367050171,130
K: 1-5 | T1: 1-10,Ki,0.9219104647636414,2.698960542678833,111
K: 10-20 | T1: T1<1,Ki,0.9181903004646301,2.034111261367798,41
K: K<1 | T1: 1-10,Ki,0.9142049551010132,2.2844934463500977,37
K: 5-10 | T1: 1-10,Ki,0.9105662107467651,2.548539400100708,124
K: 10-20 | T1: 1-10,Ki,0.9086374044418335,2.5850915908813477,225
K: 20-30 | T1: T1<1,Ki,0.8983278870582581,2.507190704345703,66
K: >30 | T1: 1-10,Ki,0.8962101936340332,3.2498202323913574,131
K: 5-10 | T1: T1<1,Ki,0.8730049729347229,4.8009843826293945,23
K: 20-30 | T1: 1-10,Ki,0.8515778183937073,2.9655067920684814,79
K: 10-20 | T1: T1<1,Kp,0.9648638963699341,2.284705877304077,41
K: 5-10 | T1: 1-10,Kp,0.9425534009933472,2.4448349475860596,124
K: >30 | T1: T1<1,Kp,0.9380266666412354,2.361598491668701,130
K: 1-5 | T1: 10-30,Kp,0.9370035529136658,2.0793445110321045,108
K: 1-5 | T1: 1-10,Kp,0.9225562810897827,2.634706497192383,111
K: K<1 | T1: 1-10,Kp,0.9216510653495789,2.193441390991211,37
K: 10-20 | T1: 1-10,Kp,0.9170262813568115,2.5358359813690186,225
K: 20-30 | T1: T1<1,Kp,0.9096933007240295,2.5404157638549805,66
K: >30 | T1: 1-10,Kp,0.9084559679031372,2.9316577911376953,131
K: K<1 | T1: 10-30,Kp,0.8894334435462952,2.3897156715393066,13
K: 20-30 | T1: 1-10,Kp,0.8765190839767456,2.9180140495300293,79
K: 5-10 | T1: T1<1,Kp,0.6447885632514954,6.320173263549805,23
