Region,Parameter,R2,MAE,Samples
K: >30 | T1: T1<1,Kd,0.9942589402198792,0.05288642272353172,129
K: 10-20 | T1: 1-10,Kd,0.9939200282096863,0.0696520060300827,224
K: 1-5 | T1: 10-30,Kd,0.9932291507720947,0.07150311768054962,18
K: 5-10 | T1: 1-10,Kd,0.9922699332237244,0.06078072637319565,111
K: 10-20 | T1: T1<1,Kd,0.9922137260437012,0.05837414786219597,49
K: >30 | T1: 1-10,Kd,0.9907984733581543,0.07163320481777191,129
K: 1-5 | T1: 1-10,Kd,0.98963862657547,0.05968092754483223,67
K: 20-30 | T1: T1<1,Kd,0.9893844127655029,0.09195283055305481,72
K: 20-30 | T1: 1-10,Kd,0.9882992506027222,0.06282665580511093,74
K: 5-10 | T1: T1<1,Kd,0.9774881601333618,0.12845295667648315,22
K: >30 | T1: 1-10,Ki,0.966582715511322,0.4542551338672638,129
K: 5-10 | T1: 1-10,Ki,0.9583786725997925,0.46134641766548157,111
K: 20-30 | T1: T1<1,Ki,0.9578614234924316,0.44148486852645874,72
K: >30 | T1: T1<1,Ki,0.9067952036857605,0.4810381233692169,129
K: 10-20 | T1: T1<1,Ki,0.9057592749595642,0.7061782479286194,49
K: 10-20 | T1: 1-10,Ki,0.8997911214828491,0.6217590570449829,224
K: 20-30 | T1: 1-10,Ki,0.8843434453010559,0.4602482318878174,74
K: 1-5 | T1: 1-10,Ki,0.8722877502441406,0.6505799889564514,67
K: 5-10 | T1: T1<1,Ki,0.8707466125488281,0.6727537512779236,22
K: 1-5 | T1: 10-30,Ki,0.7406998872756958,0.6073059439659119,18
K: 20-30 | T1: T1<1,Kp,0.9856811761856079,0.3153296709060669,72
K: >30 | T1: 1-10,Kp,0.9805967211723328,0.3264884352684021,129
K: 20-30 | T1: 1-10,Kp,0.9775688648223877,0.3129321038722992,74
K: 5-10 | T1: 1-10,Kp,0.9773794412612915,0.33353784680366516,111
K: >30 | T1: T1<1,Kp,0.9750368595123291,0.3064113259315491,129
K: 10-20 | T1: T1<1,Kp,0.9740106463432312,0.4279156029224396,49
K: 1-5 | T1: 10-30,Kp,0.951442539691925,0.5370434522628784,18
K: 1-5 | T1: 1-10,Kp,0.9419749975204468,0.4021982252597809,67
K: 5-10 | T1: T1<1,Kp,0.9388090968132019,0.4708952009677887,22
K: 10-20 | T1: 1-10,Kp,0.9271037578582764,0.4257313311100006,224
