Region,Parameter,R2,MAE,Samples
K: 5-10 | T1: T1<1,Kd,0.9990309476852417,0.09686149656772614,35
K: 1-5 | T1: T1<1,Kd,0.9979655742645264,0.08557471632957458,30
K: 1-5 | T1: 30-75,Kd,0.9956837892532349,0.13552996516227722,19
K: 5-10 | T1: 1-10,Kd,0.9883438348770142,0.16272380948066711,200
K: K<1 | T1: 10-30,Kd,0.9822149872779846,0.2129017561674118,16
K: 1-5 | T1: 1-10,Kd,0.9806867241859436,0.17337772250175476,683
K: 1-5 | T1: 10-30,Kd,0.9275457859039307,0.22858066856861115,339
K: K<1 | T1: 1-10,Kd,0.8643043637275696,0.41010478138923645,13
K: 1-5 | T1: T1<1,Ki,0.9693896770477295,0.11201833188533783,30
K: 5-10 | T1: T1<1,Ki,0.9404654502868652,0.14728204905986786,35
K: 5-10 | T1: 1-10,Ki,0.9157009720802307,0.18276655673980713,200
K: K<1 | T1: 10-30,Ki,0.9152864217758179,0.17897936701774597,16
K: 1-5 | T1: 1-10,Ki,0.911063015460968,0.18543104827404022,683
K: 1-5 | T1: 30-75,Ki,0.8960168361663818,0.17346405982971191,19
K: K<1 | T1: 1-10,Ki,0.8850100040435791,0.14883624017238617,13
K: 1-5 | T1: 10-30,Ki,0.8745476007461548,0.19886037707328796,339
K: 1-5 | T1: 30-75,Kp,0.996361494064331,0.17001256346702576,19
K: 1-5 | T1: T1<1,Kp,0.9934651851654053,0.19024556875228882,30
K: 5-10 | T1: 1-10,Kp,0.9933957457542419,0.22179323434829712,200
K: 5-10 | T1: T1<1,Kp,0.9922115802764893,0.21744737029075623,35
K: 1-5 | T1: 1-10,Kp,0.9904597997665405,0.23411649465560913,683
K: K<1 | T1: 1-10,Kp,0.9883918166160583,0.20398810505867004,13
K: K<1 | T1: 10-30,Kp,0.9865565299987793,0.2946352958679199,16
K: 1-5 | T1: 10-30,Kp,0.9623960852622986,0.30409663915634155,339
