target_true,target_pred,abs_error,rel_error_percent
11.024265,2.85219,8.172075,74.128075
11.792779,9.23164,2.561139,21.71786
10.759451,8.400226,2.3592253,21.927004
5.4655943,7.3123417,1.8467474,33.788593
9.8093405,8.214128,1.5952129,16.262184
8.882265,7.6182537,1.2640114,14.230733
9.509009,8.393697,1.1153126,11.729009
7.2673035,8.314458,1.0471544,14.409119
8.862432,8.225455,0.63697624,7.1873755
8.817642,8.374681,0.44296074,5.0235734
6.808007,7.218352,0.41034508,6.0273895
7.7064166,8.104733,0.39831686,5.168639
