y_true_orig,y_pred_orig,abs_error,rel_error_percent
175.06844,69.4785,105.589935,60.31352
215.88478,126.86409,89.02069,41.23528
152.3535,84.914406,67.439095,44.26488
117.67718,55.0095,62.66768,53.253895
113.55518,64.58649,48.968697,43.12326
153.99069,105.98121,48.009483,31.176872
178.99509,134.6348,44.36029,24.782967
89.33104,46.274536,43.056503,48.19882
70.105064,30.201574,39.90349,56.91955
88.81053,50.62118,38.18935,43.000927
84.054985,46.95029,37.104694,44.14336
143.22589,112.32398,30.901909,21.575645
146.1648,116.13198,30.032814,20.54723
125.7674,97.63732,28.130081,22.36675
102.62388,75.97965,26.644226,25.962988
40.690178,18.212996,22.477182,55.239822
42.618446,63.92502,21.306572,49.99378
43.81802,64.98201,21.16399,48.29974
41.129417,20.874346,20.255072,49.247166
34.71264,14.480533,20.232105,58.28455
99.84194,81.140564,18.701378,18.730984
32.934162,51.432858,18.498695,56.168713
64.593155,83.019775,18.42662,28.527205
34.83169,16.470144,18.361547,52.71506
68.1201,50.31547,17.80463,26.137115
105.22046,87.906525,17.313934,16.454912
32.794445,15.886906,16.90754,51.556107
50.45711,67.29004,16.832928,33.360863
59.81535,43.02268,16.792671,28.074183
26.60716,42.554832,15.947672,59.93752
89.535065,105.03495,15.499886,17.311525
31.820461,16.536535,15.283926,48.031754
15.192818,0.00017479967,15.192643,99.99885
33.78758,18.599232,15.188347,44.952457
66.54579,80.59362,14.047829,21.110018
49.406246,37.728645,11.677601,23.635881
52.53204,63.98021,11.44817,21.792738
56.960896,68.236115,11.275219,19.794664
29.315382,19.14091,10.174473,34.706944
36.330093,45.762756,9.432663,25.963774
19.265348,28.648632,9.383284,48.705498
42.277878,51.09054,8.812664,20.844624
24.330618,32.795834,8.465216,34.79244
18.102863,26.132729,8.029865,44.35688
32.604424,25.313057,7.2913666,22.363121
12.707829,6.6376786,6.070151,47.767014
33.17176,27.107714,6.064047,18.28075
14.417562,19.90959,5.492028,38.09263
43.482697,48.96474,5.482044,12.607415
33.20235,38.478207,5.275856,15.890007
24.00008,19.396265,4.603815,19.182499
47.55844,43.100246,4.4581947,9.37414
41.619305,37.2028,4.416504,10.611671
109.25412,104.89842,4.3556976,3.9867582
20.982092,25.31295,4.330858,20.640736
68.34482,72.473274,4.128456,6.040628
20.645992,16.519777,4.126215,19.98555
8.976539,4.888394,4.088145,45.542553
40.202866,43.842747,3.6398811,9.053785
12.324566,15.872133,3.5475674,28.784523
8.868826,5.581656,3.28717,37.064316
56.47962,53.212776,3.2668457,5.784114
38.576584,35.541313,3.0352707,7.868169
33.52621,36.4957,2.96949,8.85722
23.049932,20.335144,2.7147884,11.777859
18.230423,15.549078,2.681345,14.708078
23.58653,26.135109,2.5485783,10.805227
47.50465,45.003532,2.5011177,5.2649956
7.521857,5.0748143,2.4470425,32.532425
21.458427,19.066175,2.392252,11.14831
6.8256955,9.185118,2.3594222,34.566765
5.150693,7.455613,2.3049202,44.74971
62.79423,65.01763,2.2234,3.5407712
65.44869,67.59764,2.1489487,3.2834096
10.428962,8.36907,2.0598917,19.751646
8.085183,10.133195,2.0480118,25.330431
8.286845,10.318816,2.031971,24.520441
25.193384,23.210632,1.9827518,7.8701286
10.404463,12.373318,1.9688549,18.923178
6.5915575,4.657248,1.9343095,29.345259
7.677009,5.7985926,1.8784165,24.468079
41.166553,42.9317,1.7651482,4.2878213
5.568459,3.8058028,1.7626562,31.654291
8.60191,7.0640326,1.5378771,17.87832
4.4456835,5.773164,1.3274803,29.859983
39.0164,37.73738,1.2790184,3.2781558
2.5873291,3.6817312,1.0944021,42.298527
1.133233,2.2149453,1.0817124,95.45366
3.3900385,4.4575996,1.0675611,31.491123
196.36845,195.34108,1.0273743,0.52318704
6.115301,5.092237,1.0230641,16.729578
1.8542275,2.8765872,1.0223596,55.136684
3.9408832,4.9151554,0.97427225,24.72218
4.804663,3.9446135,0.8600497,17.900312
5.4149313,4.583479,0.83145237,15.354809
5.5693955,6.400345,0.8309493,14.919919
5.3391733,6.145623,0.8064499,15.104396
1.1078129,1.9042408,0.79642797,71.89192
12.808842,13.561787,0.75294495,5.878322
4.7387967,5.443203,0.70440626,14.864666
3.66829,4.2273374,0.55904746,15.240003
2.717704,3.2270522,0.50934815,18.741854
4.7456017,4.25478,0.49082184,10.342669
10.093615,9.603499,0.49011517,4.8556952
0.99238575,1.456429,0.46404326,46.760372
6.0489125,5.5985656,0.45034695,7.4450893
3.8634193,3.4235601,0.43985915,11.38523
1.6670504,2.0828662,0.41581583,24.943207
3.9435866,3.5280662,0.41552043,10.5366125
1.7172278,2.1237814,0.40655363,23.674995
3.1537228,2.8205454,0.33317733,10.564573
1.1130469,1.4269831,0.31393623,28.205122
10.2093525,9.904371,0.30498123,2.987273
18.649128,18.350159,0.29896927,1.6031274
3.0266151,3.2320251,0.20541,6.78679
4.635878,4.781797,0.14591885,3.147599
26.753538,26.623232,0.13030624,0.4870617
3.4391682,3.5353875,0.0962193,2.7977493
4.7788424,4.7304344,0.04840803,1.0129657
0.7669119,0.7462566,0.020655334,2.6933124
