y_true_orig,y_pred_orig,abs_error,rel_error_percent
159.92033,17.874838,142.0455,88.82266
142.53706,16.068045,126.46902,88.727104
152.96857,41.82061,111.14796,72.66065
121.05498,12.058909,108.99607,90.03849
128.31158,24.818407,103.49318,80.65771
126.90385,31.868229,95.035614,74.88789
137.5747,50.998966,86.575745,62.929985
119.61013,40.119408,79.49072,66.45818
104.33126,31.97676,72.3545,69.35074
135.40399,64.672386,70.731606,52.23746
101.27784,31.123283,70.15456,69.2694
86.07057,25.565104,60.50547,70.29751
62.353077,19.947077,42.406,68.00947
60.02498,19.178299,40.84668,68.04947
105.45908,66.96758,38.4915,36.498993
102.21203,64.004944,38.207085,37.380222
54.694424,18.50957,36.184853,66.15821
56.426525,22.498484,33.92804,60.12782
45.855255,16.526085,29.32917,63.960323
55.094013,26.059807,29.034206,52.699387
51.670113,23.811993,27.85812,53.915348
55.31053,27.589718,27.720814,50.118507
66.05368,38.887836,27.165844,41.12692
55.088024,28.326468,26.761557,48.579628
56.039,30.627724,25.411278,45.3457
39.279076,14.299941,24.979134,63.593994
41.39791,16.797384,24.600527,59.42456
36.81274,12.382101,24.43064,66.36463
55.152008,30.772154,24.379854,44.204834
48.137108,23.801329,24.33578,50.555134
92.91893,68.584694,24.334236,26.188675
47.015724,23.403143,23.612581,50.222733
61.593014,38.154224,23.43879,38.0543
39.28536,16.065107,23.220251,59.10663
49.170097,26.196991,22.973106,46.7217
38.83895,16.442596,22.396355,57.664677
34.89302,13.699472,21.193548,60.738644
61.827003,40.884167,20.942837,33.873283
46.245647,25.448109,20.797539,44.971886
55.66971,35.010105,20.659603,37.11103
33.479736,13.290943,20.188793,60.30153
42.17672,22.084059,20.09266,47.63922
46.7109,27.038548,19.672352,42.115124
40.15285,20.76924,19.383612,48.27456
35.872677,55.248478,19.375801,54.0127
44.12152,24.74675,19.374771,43.912292
71.66412,52.93415,18.729973,26.135775
45.04911,26.622166,18.426945,40.904125
39.47655,21.389215,18.087336,45.81792
60.19689,42.455135,17.741756,29.472878
46.333992,29.611572,16.72242,36.09104
40.391636,24.634666,15.756969,39.010475
24.250319,8.682923,15.567395,64.1946
64.35229,49.136063,15.216225,23.645195
31.35274,16.319183,15.033556,47.949738
23.630499,8.773515,14.856984,62.87207
25.474262,40.158566,14.684303,57.643684
32.201042,17.639874,14.561169,45.219555
21.66997,7.163995,14.505975,66.94045
43.16904,28.673029,14.496012,33.579647
39.03366,24.76645,14.26721,36.55104
63.533375,49.42902,14.104355,22.199915
30.00195,15.961159,14.040791,46.799595
25.834694,11.836379,13.998315,54.184174
28.239866,14.473507,13.766359,48.747963
24.800114,11.359147,13.440967,54.197197
51.761242,65.107506,13.346264,25.784279
41.35595,28.079002,13.276947,32.10408
26.47309,13.497206,12.9758835,49.015373
25.18475,12.381364,12.803386,50.837852
21.044207,8.52601,12.518197,59.48524
37.29204,24.790186,12.501856,33.524193
27.19163,14.696721,12.494908,45.951305
60.707413,48.2842,12.423214,20.46408
72.61928,60.391327,12.227951,16.838438
27.56826,15.342918,12.225342,44.345715
33.69007,21.476362,12.213709,36.25314
20.429981,8.371901,12.058081,59.0215
29.507656,41.375427,11.867771,40.219296
42.879173,31.06279,11.816383,27.557394
19.946224,8.376402,11.569822,58.005074
26.32053,14.811355,11.509175,43.726986
30.09772,18.633976,11.463743,38.08841
18.110718,7.096429,11.014289,60.81641
21.527607,10.547033,10.980574,51.00694
33.55265,22.839958,10.712692,31.928007
35.512646,24.956146,10.5564995,29.726028
17.756798,7.437744,10.319054,58.11326
15.935887,5.630987,10.3049,64.66474
9.949582,20.242113,10.292531,103.44686
16.86564,6.650266,10.215374,60.569145
34.80346,44.393673,9.590214,27.555346
16.32175,6.9161134,9.405638,57.626404
18.427341,9.055356,9.371985,50.85913
33.203045,23.941895,9.26115,27.892473
46.58072,55.76765,9.186932,19.722607
26.165386,17.00659,9.158796,35.003483
28.757313,19.615759,9.141554,31.788624
11.445026,20.571732,9.126705,79.74386
10.767489,19.772509,9.005019,83.63155
27.376259,18.640062,8.7361965,31.91158
14.778946,6.04561,8.7333355,59.09309
9.026302,17.653788,8.627485,95.58161
8.564183,17.186031,8.621848,100.673325
13.31916,4.7640843,8.555077,64.23135
13.499189,22.052868,8.5536785,63.364388
8.535909,17.059412,8.523503,99.85467
61.750725,70.26328,8.512558,13.785357
24.232283,32.73501,8.502726,35.088425
15.69168,7.2617693,8.429911,53.722168
17.385286,25.544477,8.159191,46.93159
9.032102,17.158533,8.126431,89.97276
21.308325,13.292112,8.016212,37.620094
14.067733,22.083128,8.015395,56.97716
16.794466,8.786846,8.00762,47.680107
29.878712,37.733788,7.855076,26.289875
13.9543295,6.1383114,7.816018,56.01142
22.578268,14.812968,7.7653,34.392803
10.716156,18.457825,7.7416687,72.242966
30.441628,22.800528,7.6411,25.100826
9.460303,17.018383,7.5580797,79.89257
31.660759,39.173046,7.512287,23.727438
22.089561,14.602316,7.4872456,33.894947
15.660591,23.088844,7.428253,47.432777
11.885247,19.293993,7.408746,62.335648
11.716084,19.04366,7.3275757,62.542877
8.086513,15.398033,7.3115206,90.41624
16.509754,23.803019,7.2932644,44.175488
11.510598,4.24043,7.2701683,63.16065
16.1056,23.375418,7.2698174,45.138443
28.904263,21.662046,7.242216,25.055876
40.82538,33.589592,7.2357864,17.723745
11.445542,18.662539,7.216996,63.055084
29.405813,22.307737,7.098076,24.138344
24.309042,17.3609,6.948141,28.582537
13.78826,6.8689294,6.919331,50.18277
31.292204,24.381117,6.911087,22.085651
19.554596,12.709454,6.8451424,35.005287
28.196928,35.03167,6.8347416,24.239313
40.983253,34.23308,6.7501717,16.47056
9.498782,16.236853,6.7380705,70.93615
35.389633,28.690905,6.6987286,18.928505
10.191675,16.87189,6.680214,65.545784
24.131653,17.506151,6.6255016,27.455648
20.654507,14.037782,6.616725,32.03526
7.071086,13.585689,6.5146027,92.13016
13.270417,19.782667,6.51225,49.073437
32.41022,38.910725,6.5005035,20.056955
17.51844,11.032826,6.485614,37.02164
12.184758,5.7584457,6.4263124,52.74058
13.800317,7.389737,6.4105797,46.45241
20.506933,26.885427,6.3784943,31.104086
9.025655,15.399925,6.3742704,70.62392
35.423172,29.115343,6.307829,17.80707
18.712938,12.4059305,6.307008,33.703995
7.887484,14.166424,6.2789397,79.60637
9.932978,16.206255,6.2732773,63.156063
33.932217,27.68476,6.2474575,18.411581
27.625463,21.415302,6.210161,22.479845
24.78826,18.590681,6.1975784,25.002071
26.062082,32.257515,6.1954327,23.771826
11.901812,5.7930107,6.108801,51.326645
23.23708,17.172695,6.0643845,26.097878
6.6261783,12.663441,6.0372624,91.11229
22.336136,16.360508,5.975628,26.753187
20.810246,14.882691,5.927554,28.483828
10.530532,16.437677,5.9071455,56.095413
11.323422,5.416779,5.9066434,52.16306
29.204025,23.344496,5.8595295,20.064116
22.266844,16.47648,5.7903633,26.004417
11.442839,17.229578,5.7867393,50.57084
14.606095,20.295956,5.6898603,38.955383
66.6028,60.951885,5.6509132,8.484498
12.7546625,18.404558,5.6498957,44.296707
12.463932,18.11118,5.6472473,45.308716
33.10019,27.494781,5.6054077,16.93467
21.350306,15.785343,5.5649624,26.065023
9.710263,4.1969604,5.513303,56.778095
9.776783,15.272238,5.495455,56.209232
32.46602,37.94107,5.475052,16.863947
17.356531,22.807735,5.4512043,31.40722
14.689073,9.2634735,5.425599,36.936295
14.039568,19.445356,5.4057884,38.503952
7.6071153,13.009914,5.402799,71.02297
16.223198,10.864071,5.359127,33.03373
6.9680877,1.6695399,5.2985477,76.0402
20.029617,25.307413,5.277796,26.349958
12.215333,17.484505,5.2691717,43.13572
6.1820383,11.42886,5.2468214,84.872025
23.534662,18.333189,5.201473,22.10133
12.2173815,7.0165653,5.200816,42.568993
10.119901,15.296787,5.1768866,51.155506
14.193917,9.034667,5.1592503,36.34832
15.645691,10.4937725,5.1519184,32.928673
13.54899,18.69499,5.146,37.98069
17.200249,22.337141,5.1368923,29.86522
15.623899,20.706064,5.082165,32.528145
8.683505,13.724953,5.0414476,58.05775
12.852727,17.879087,5.0263605,39.107346
16.220448,11.20758,5.012868,30.904623
11.980023,16.89396,4.9139376,41.017765
16.031519,20.908876,4.8773575,30.423552
26.406212,21.541162,4.8650494,18.423882
11.717527,6.9142356,4.803292,40.992367
12.163114,16.936619,4.773505,39.24575
11.488042,6.7857523,4.7022896,40.932037
52.538067,47.857933,4.680134,8.908081
28.028688,23.360643,4.668045,16.654526
17.497023,22.100075,4.603052,26.30763
20.483511,15.886038,4.597473,22.444752
25.568802,20.98423,4.584572,17.930334
51.090996,46.516785,4.574211,8.953067
16.588486,21.143885,4.555399,27.46121
10.420189,14.95831,4.538121,43.55124
14.625019,19.14711,4.522091,30.92024
16.081625,20.448885,4.36726,27.156834
9.495016,13.815235,4.320219,45.499863
20.520563,16.201794,4.3187695,21.046057
12.216346,16.530884,4.314538,35.317745
22.760078,18.449923,4.310156,18.937351
8.455592,12.756409,4.3008165,50.86358
8.713262,13.010926,4.2976646,49.32326
8.303023,12.590884,4.287861,51.642162
25.57597,29.829184,4.253214,16.629726
9.366993,13.612483,4.24549,45.32394
15.505141,19.732866,4.227725,27.2666
27.87271,32.09613,4.223421,15.152532
7.395356,11.589752,4.194396,56.71662
7.8274117,3.642518,4.1848936,53.46459
12.231601,8.046919,4.184682,34.212055
17.155403,12.975452,4.1799507,24.365213
12.518066,16.697348,4.179281,33.385998
9.733066,5.5617523,4.1713133,42.857136
8.009741,12.152534,4.1427927,51.72193
24.2826,28.404133,4.1215324,16.973192
9.897485,13.9743805,4.0768957,41.19123
14.739976,10.717128,4.022848,27.292095
12.4389305,16.429192,3.990261,32.07881
9.455984,5.524658,3.931326,41.575005
16.81325,12.885741,3.9275084,23.359602
10.012606,13.939249,3.9266434,39.217
12.057968,8.137581,3.9203873,32.512836
8.21941,4.3293567,3.8900533,47.32765
13.95296,10.091467,3.861493,27.675083
9.523126,13.380811,3.857685,40.508602
22.74203,18.887936,3.8540936,16.947008
13.596097,17.439405,3.8433084,28.267733
14.480546,18.290174,3.8096285,26.308598
7.7487774,11.556476,3.8076982,49.139343
17.092459,13.297085,3.795374,22.204962
10.243784,6.4676013,3.7761827,36.86316
11.480972,7.726886,3.7540865,32.698334
11.228311,7.530984,3.6973267,32.92861
10.9232235,7.2311964,3.692027,33.799793
9.965718,6.2806363,3.685082,36.977585
7.2190175,10.893831,3.6748137,50.904625
11.628378,15.272726,3.6443481,31.340124
16.80005,20.440596,3.640545,21.669846
12.579335,16.19636,3.6170244,28.753702
10.961155,7.3499823,3.6111727,32.945187
14.492693,18.088083,3.5953903,24.808296
10.025226,6.4325724,3.5926533,35.836132
9.07493,5.4880643,3.586866,39.524998
12.895428,9.352145,3.5432825,27.477045
16.416481,12.89192,3.524561,21.469648
20.151043,16.637062,3.5139809,17.438208
14.854318,18.367449,3.5131311,23.650572
7.2640347,10.765186,3.5011516,48.19844
9.935937,6.4420094,3.4939275,35.16455
14.476045,11.015004,3.4610405,23.908745
13.641509,10.200313,3.4411964,25.225922
8.10538,4.666028,3.439352,42.432953
8.591497,5.1657796,3.4257178,39.87335
22.759552,26.136423,3.376871,14.837159
12.180024,15.543619,3.363595,27.615667
28.17879,24.819275,3.3595142,11.922138
6.440431,9.788121,3.34769,51.979286
15.175913,18.485415,3.3095016,21.807594
7.872168,11.147889,3.275721,41.611423
6.6452475,9.912199,3.2669516,49.162228
5.3284445,8.569808,3.2413635,60.83133
21.368336,18.12997,3.2383652,15.154971
7.1525965,3.9547462,3.1978502,44.708942
45.536358,42.338867,3.1974907,7.0218415
11.469658,14.631157,3.161499,27.564022
15.539942,18.696348,3.1564064,20.311571
6.9458895,10.101359,3.15547,45.429314
15.402872,18.557156,3.1542835,20.47854
7.0703726,3.920239,3.1501336,44.553997
8.362526,5.226109,3.136417,37.505615
21.671787,18.541985,3.1298027,14.441831
17.71934,20.842451,3.1231117,17.62544
17.921766,14.810808,3.110958,17.358547
22.833555,19.728779,3.1047764,13.597428
7.9087625,11.009674,3.1009116,39.208557
10.10467,13.204871,3.1002016,30.680882
9.972908,13.046324,3.0734158,30.81765
9.280108,12.344712,3.0646038,33.02336
16.533527,19.56272,3.029192,18.32151
11.647,8.639175,3.007825,25.82489
16.102468,13.130913,2.9715557,18.454039
7.6307735,4.6789412,2.9518323,38.683266
9.924011,12.872296,2.948285,29.708605
10.393528,7.450713,2.9428148,28.313917
2.6513548,5.5885468,2.937192,110.7808
9.336593,12.268606,2.9320135,31.403465
7.847733,4.947258,2.900475,36.9594
8.31296,5.4137936,2.899166,34.87526
18.820843,15.92996,2.8908825,15.360006
9.313137,12.177876,2.8647394,30.760199
7.356061,10.21448,2.8584194,38.858017
20.005249,17.178776,2.8264732,14.128659
6.6249995,3.8089943,2.8160052,42.50574
4.0418515,6.828943,2.7870913,68.95581
4.9891677,7.761607,2.7724395,55.56918
5.1548605,7.92459,2.7697296,53.730446
23.99366,26.756039,2.7623787,11.512952
5.3406262,8.098405,2.7577786,51.637737
5.2770033,2.5246725,2.7523308,52.15708
7.1998167,4.4570317,2.742785,38.095207
34.8415,32.124565,2.7169342,7.797983
14.072526,16.781767,2.709241,19.251987
10.154638,7.4729824,2.681656,26.408188
12.621272,15.289433,2.6681604,21.140186
4.643031,7.303852,2.660821,57.307842
14.556525,11.902819,2.6537066,18.230358
11.923946,9.280666,2.64328,22.16783
11.518719,8.881086,2.6376324,22.898663
41.2051,43.84229,2.637188,6.40015
27.977053,25.35584,2.621212,9.36915
4.4832,7.100157,2.6169567,58.372517
5.9541354,8.558883,2.6047473,43.74686
10.219548,7.61985,2.599698,25.438484
4.6679654,7.260625,2.5926595,55.541534
10.991085,13.56968,2.5785952,23.460789
7.6388335,10.206149,2.5673156,33.608738
5.4773645,8.044012,2.5666475,46.859173
14.298052,16.843533,2.5454807,17.80299
3.9533699,6.4920726,2.5387027,64.21617
3.8790085,6.3622856,2.483277,64.01835
9.066809,6.5889544,2.4778543,27.328848
3.954188,6.4233136,2.4691255,62.4433
9.552701,12.021086,2.4683847,25.839653
8.988473,6.5293202,2.4591527,27.35896
36.291416,33.837776,2.45364,6.7609377
11.074772,8.629987,2.444785,22.075264
6.4446726,8.8849535,2.440281,37.86509
11.67783,9.240945,2.4368849,20.867619
15.889765,18.322645,2.4328804,15.31099
5.1316442,7.5452843,2.41364,47.034435
19.679379,22.080448,2.4010696,12.200942
6.273876,8.673328,2.3994522,38.245132
13.601803,15.972992,2.371189,17.432903
11.236676,8.865906,2.3707705,21.098503
16.730925,19.098581,2.3676567,14.15138
8.23549,10.597936,2.3624458,28.686161
10.420678,12.770283,2.3496046,22.547522
5.646668,7.9884014,2.3417335,41.471066
3.3830194,5.7173333,2.3343139,69.0009
7.028511,9.360679,2.3321676,33.181534
11.803972,14.106388,2.3024158,19.505432
10.281125,12.580782,2.2996569,22.367754
7.849182,5.5498343,2.2993479,29.294107
7.5640497,9.858399,2.2943497,30.332293
4.1645474,6.454998,2.2904506,54.998787
12.134757,14.409396,2.2746391,18.744825
3.457089,5.7305756,2.2734866,65.76304
12.673631,10.42746,2.246171,17.723185
53.931953,56.16865,2.2366982,4.1472597
24.765734,22.535372,2.230362,9.005838
6.754208,8.983377,2.2291694,33.004154
5.8204675,3.5996299,2.2208376,38.155655
9.783951,11.9730215,2.1890707,22.374098
11.68164,9.502783,2.1788568,18.651978
8.884839,11.0561905,2.1713514,24.438839
9.009969,6.848482,2.1614866,23.989946
12.929197,15.08992,2.1607227,16.711964
9.8628235,12.01347,2.1506462,21.805584
5.4398394,7.581665,2.1418257,39.37296
4.60964,6.728986,2.1193457,45.97638
3.5730605,5.6620684,2.0890079,58.465504
7.956686,10.045262,2.0885763,26.249325
10.642543,12.72938,2.0868368,19.608442
10.141305,12.216988,2.0756826,20.46761
15.340717,13.266133,2.074584,13.523383
6.674536,4.600939,2.0735974,31.067287
15.248021,17.30914,2.0611181,13.517283
10.360904,12.415717,2.0548134,19.832376
4.782336,6.8263526,2.0440164,42.74096
34.06655,36.10871,2.04216,5.9946194
9.89075,7.849292,2.0414581,20.640074
4.121494,6.1606507,2.039157,49.476162
3.6464348,5.684416,2.037981,55.889687
3.1867118,1.1522424,2.0344694,63.842274
8.649914,6.6274605,2.0224533,23.381197
6.9302115,8.951953,2.0217414,29.172867
3.7736182,1.7591987,2.0144196,53.381645
7.694751,9.703848,2.009097,26.10997
6.4436893,8.44926,2.0055704,31.124567
14.883196,12.886936,1.9962597,13.412844
12.522342,10.533884,1.9884577,15.879279
6.091484,8.078242,1.9867582,32.61534
10.250281,12.22949,1.979209,19.308826
8.436468,6.4714074,1.9650607,23.292458
12.07823,14.042242,1.9640121,16.260761
18.734013,20.696098,1.9620857,10.473388
12.154032,14.113251,1.959219,16.119911
4.7549043,6.713239,1.9583349,41.18558
21.041021,22.997803,1.9567814,9.29984
7.3070145,9.25738,1.9503651,26.69168
6.049634,7.984419,1.9347849,31.98185
2.945357,4.877582,1.932225,65.6024
3.695895,5.6208525,1.9249575,52.083668
4.497345,6.4219565,1.9246116,42.794395
6.378663,8.297412,1.9187489,30.080736
51.413715,49.50257,1.9111443,3.7171876
6.642383,4.733137,1.909246,28.743387
6.5242634,8.428971,1.9047079,29.194221
9.274554,11.165523,1.8909683,20.388779
7.199488,9.085638,1.8861499,26.19839
4.045334,5.9251876,1.8798537,46.46968
25.921312,24.043455,1.8778572,7.2444525
6.0282803,7.905776,1.8774958,31.144798
3.4972577,5.3690205,1.8717628,53.52087
6.8740053,5.019351,1.8546543,26.980692
7.161007,5.3161306,1.8448763,25.762806
20.726852,18.900547,1.8263054,8.811301
4.7940865,2.969539,1.8245475,38.058296
17.714705,15.892235,1.8224697,10.287892
6.5125527,8.332618,1.820065,27.94703
6.097342,7.9111395,1.8137975,29.747347
4.4791794,6.2758203,1.7966409,40.11094
34.606575,32.813187,1.7933884,5.1822186
17.260418,19.049715,1.7892971,10.366477
47.223976,45.446293,1.7776833,3.764366
15.141104,13.36512,1.7759838,11.729553
3.5435214,5.311871,1.7683496,49.903736
5.636824,7.4033394,1.7665153,31.338839
2.861163,4.626256,1.7650931,61.691456
8.130145,6.365697,1.7644482,21.702543
7.625392,9.371493,1.7461014,22.898514
12.055333,10.340258,1.7150755,14.226695
13.950639,12.243243,1.7073956,12.238834
10.835436,12.530093,1.6946573,15.639955
4.7331696,6.419115,1.6859455,35.619797
26.409529,24.729973,1.6795559,6.359659
7.861016,9.512518,1.6515021,21.008762
4.8966007,6.536567,1.6399665,33.491936
9.259919,7.625313,1.6346064,17.65249
7.1805706,5.550534,1.6300368,22.700659
12.301553,13.928842,1.6272888,13.22832
9.416058,7.7988167,1.6172409,17.17535
2.5017679,4.1156535,1.6138856,64.50981
2.6918032,4.2915664,1.5997632,59.430912
4.902045,3.3186626,1.5833821,32.30044
5.5918155,7.1732283,1.5814128,28.280848
4.3908033,2.8102343,1.580569,35.99726
3.3124561,4.881621,1.5691648,47.37164
5.237654,6.8006873,1.5630331,29.842236
3.6820536,5.2299256,1.5478721,42.03828
3.7939057,5.338486,1.5445805,40.712143
2.7811549,4.3253055,1.5441506,55.52192
4.3499327,5.892891,1.5429583,35.47085
11.749439,13.29078,1.5413408,13.11842
5.341325,3.8112655,1.5300593,28.64569
5.675727,4.15649,1.519237,26.76727
8.2340355,9.744853,1.5108175,18.348446
7.189217,8.698608,1.5093913,20.99521
6.3849382,4.8798623,1.5050759,23.572287
26.541494,25.041775,1.4997196,5.650471
11.65904,10.162086,1.4969549,12.839436
10.309853,8.827507,1.4823456,14.377952
2.6932986,4.168658,1.4753592,54.778896
6.8167205,8.290182,1.4734616,21.615402
23.85439,25.326147,1.4717579,6.169757
4.0043902,2.5395179,1.4648724,36.58166
2.5338335,3.9974785,1.463645,57.764057
17.347923,15.8883,1.4596233,8.413822
5.1326027,6.591879,1.4592762,28.431503
3.1344135,1.6805756,1.4538379,46.38309
3.7495356,2.3019996,1.447536,38.605743
2.6791801,4.1186967,1.4395165,53.729744
5.9642496,7.3986826,1.434433,24.050518
3.480042,2.0475025,1.4325395,41.164433
4.7267914,6.155758,1.4289665,30.231216
7.3280387,8.7544565,1.4264178,19.465206
2.732927,4.1582646,1.4253376,52.154247
6.5948234,8.016005,1.4211812,21.549952
5.911182,7.3117533,1.4005713,23.693592
3.825917,5.2246885,1.3987715,36.560425
