y_true,y_pred,y_std,abs_error,rel_error_%
38.077477,29.780571,31.440044,8.2969055,21.789536
55.35124,38.187595,56.887295,17.163643,31.008596
1.3894267,6.1684103,7.153315,4.7789836,343.9536
22.267855,34.945625,34.978,12.677771,56.93306
67.95197,68.1625,77.44605,0.21052551,0.30981517
102.06452,111.809,119.83841,9.744476,9.547369
7.776527,4.5067096,6.0509176,3.2698174,42.04727
106.6519,37.825294,38.503445,68.82661,64.533875
66.65678,37.506054,39.12552,29.150723,43.73257
25.43905,24.553953,25.348751,0.8850975,3.4792867
50.067917,73.744774,75.34177,23.676857,47.289482
158.11655,83.23801,85.95991,74.87854,47.35655
