y_true,y_pred,y_std,abs_error,rel_error_%
1.3293853,1.4055963,2.2893426,0.076210976,5.732798
0.6006641,1.4509375,2.3001523,0.85027343,141.55557
0.54070204,1.1162434,2.2996082,0.5755413,106.44334
4.842726,4.0929203,4.85367,0.7498059,15.483136
2.3177931,1.1217918,2.0150359,1.1960013,51.600864
10.596726,3.334609,4.084787,7.2621174,68.53171
10.482353,6.057673,6.719491,4.42468,42.210754
3.2283633,2.6198,3.436184,0.6085632,18.850517
9.737591,6.2289333,6.7726364,3.5086575,36.03209
2.7176068,1.745095,2.9627469,0.97251177,35.785595
0.94489557,0.5919645,1.500409,0.35293108,37.351334
0.6295592,0.46879768,1.4211437,0.16076154,25.535568
0.83860755,0.88941956,1.7839483,0.050812006,6.0590925
0.8346399,1.1332567,2.2727969,0.29861677,35.777916
0.85123116,1.2410777,2.1750934,0.3898465,45.79796
1.4164721,1.1324253,2.058082,0.28404677,20.053114
1.545321,1.5517671,2.3975172,0.006446123,0.41713813
11.541227,5.7652597,6.3365235,5.7759676,50.046387
1.1009195,1.0412166,1.9405847,0.059702873,5.423001
1.007292,1.351507,2.2880073,0.34421492,34.172306
1.619263,1.040201,2.0852435,0.5790621,35.76084
8.961716,5.9282346,6.491312,3.0334811,33.849335
1.5091789,1.6437252,2.5064867,0.13454628,8.915197
0.7391259,0.5758374,1.5314572,0.16328853,22.092113
14.438811,5.1336417,5.7536483,9.30517,64.44554
1.5101653,1.1913247,2.1568725,0.31884062,21.11296
4.715142,4.5603395,5.206565,0.15480232,3.2830894
0.50239325,0.51598096,1.47064,0.013587713,2.7045972
0.97928077,1.1109655,2.2910163,0.13168472,13.447085
1.9807577,2.6283853,3.4205055,0.6476276,32.69595
1.4404465,1.121155,2.304604,0.31929147,22.166145
7.716728,4.327299,5.0025964,3.389429,43.923138
0.5615514,1.0855076,2.265739,0.52395624,93.30512
0.40938783,2.5865378,3.3921971,2.17715,531.8062
1.5838703,2.2175658,3.0219958,0.6336955,40.009304
10.938556,5.139807,5.7507124,5.7987485,53.012016
14.626439,13.326166,13.4440975,1.300273,8.88988
0.4986632,0.5405141,1.4754934,0.041850924,8.392624
13.230842,9.665387,10.018963,3.5654545,26.948055
1.0437161,1.0171103,1.9641597,0.026605725,2.5491345
0.7600541,1.673706,2.5165274,0.91365194,120.2088
0.9853784,0.6844779,1.5872452,0.30090046,30.53654
7.2873034,4.9322333,5.595565,2.35507,32.317444
0.32838333,1.3999856,2.2872577,1.0716022,326.32663
0.5564964,0.9581398,2.116855,0.4016434,72.17359
0.9197753,0.85803294,1.7653209,0.061742365,6.7127657
15.486351,12.542383,12.711443,2.9439678,19.01008
0.9793059,0.9531561,1.8555639,0.02614981,2.670239
1.2148466,0.8969557,1.8089645,0.31789088,26.167164
0.5293985,0.91113126,1.835458,0.38173276,72.10688
