y_true,y_pred,y_std,abs_error,rel_error_%
1.0244209,0.98140275,1.857026,0.043018103,4.1992607
0.6507597,0.5465716,1.4454424,0.104188085,16.010223
9.9390335,6.960661,7.4274025,2.9783726,29.96642
0.76684624,0.6792011,1.5813332,0.08764511,11.429294
4.1110253,6.5780773,7.0724807,2.467052,60.010624
0.6771854,0.7600516,1.6549768,0.08286619,12.236855
0.6887489,0.95782435,1.8337142,0.26907545,39.06728
6.946136,9.659329,9.946377,2.7131934,39.06047
0.9094064,0.8260156,1.7730379,0.08339083,9.169808
1.8670017,2.3990183,3.1722238,0.53201663,28.495777
1.517607,1.785785,2.6069143,0.268178,17.67111
0.5362559,0.47204474,1.4515148,0.06421116,11.973977
1.4303333,1.4416835,2.2790504,0.011350274,0.79354054
12.19471,7.5434647,7.9807715,4.651245,38.1415
1.0197042,0.81006765,1.6965117,0.20963657,20.558567
6.5242434,8.280109,8.658705,1.755866,26.912947
0.48328203,0.54552853,1.4437569,0.0622465,12.879954
4.3582845,5.2812567,5.8705945,0.9229722,21.17742
10.859898,8.577098,9.256941,2.2827997,21.020452
0.91742915,1.0281582,1.9103397,0.11072904,12.069491
11.401994,11.94589,12.252819,0.5438967,4.7701893
2.0550418,1.0008979,1.868218,1.0541439,51.295498
5.182475,6.0310445,6.560732,0.8485694,16.373825
2.2492168,2.3001356,3.0789013,0.050918818,2.2638466
4.171824,5.44053,6.0154796,1.2687058,30.411299
2.5163386,2.991173,3.7245476,0.47483444,18.870054
0.98805183,1.1424971,2.0273924,0.15444523,15.631289
23.942583,22.540148,22.003702,1.4024353,5.857494
3.0563152,3.9247198,4.5964622,0.8684046,28.41345
22.48845,19.038155,18.714222,3.4502945,15.342519
9.181316,9.445892,9.751754,0.26457596,2.8816779
3.6684415,3.194007,3.947457,0.4744346,12.932866
0.5595827,0.4356848,1.3753692,0.12389791,22.141127
0.6935744,0.8632648,1.7412095,0.16969037,24.466064
1.0792358,1.020364,1.893424,0.058871746,5.4549475
3.3318698,3.8550248,4.714761,0.523155,15.701543
0.50651675,0.60101545,1.5282503,0.094498694,18.656578
0.49635282,0.45250028,1.357136,0.043852538,8.834953
1.2190229,1.2061636,2.0737443,0.012859225,1.0548798
3.6041868,3.9791617,4.706179,0.37497497,10.403872
0.6067429,0.8370248,1.7747213,0.23028189,37.95378
0.9029846,0.6853217,1.5772669,0.21766293,24.104832
5.997522,3.9165359,4.589523,2.080986,34.69743
0.3442627,0.32484213,1.246514,0.019420564,5.641205
5.06627,5.9473248,6.6786084,0.8810549,17.390602
1.332323,1.3922768,2.2333212,0.05995381,4.4999456
31.764008,16.15009,16.00951,15.613918,49.15601
2.977384,3.3126097,4.0238423,0.33522558,11.259065
