y_true,y_pred,y_std,abs_error,rel_error_%
0.5066489,0.41738486,0.87797034,0.089264035,17.618519
0.94536185,0.3815496,1.0056462,0.56381226,59.639835
0.78624237,0.4874277,1.1001064,0.29881465,38.005413
0.47886756,0.515453,0.89947945,0.03658542,7.6399875
0.72328484,0.41442668,0.98507464,0.30885816,42.702145
0.4148905,0.40050292,1.448375,0.014387578,3.4678013
0.27161092,0.3190415,0.87238735,0.047430575,17.46269
0.9518866,0.0,1.1237016,0.9518866,100.0
0.5826177,1.1148946,0.94565034,0.5322769,91.35955
0.49828145,0.3750949,1.3096788,0.12318656,24.722284
2.122387,7.4246907,0.88318694,5.302304,249.8274
0.23504466,0.10188043,1.066714,0.13316423,56.65486
0.8934507,7.1183934,0.952884,6.2249427,696.7304
0.13960539,0.15010476,0.9445037,0.010499373,7.52075
0.50941753,0.3792385,0.86941755,0.13017905,25.554487
0.4893294,0.4649819,0.88216865,0.024347484,4.9756837
0.18111768,0.29328477,0.86328644,0.11216709,61.930504
0.48506227,0.47570527,0.8660559,0.009357005,1.9290317
0.23631598,0.2073065,1.7249805,0.029009476,12.275715
1.5358021,3.1502757,0.961711,1.6144736,105.1225
12.714697,12.105915,1.117675,0.6087818,4.788017
0.54548967,1.4088297,2.6612475,0.86334,158.26881
0.15618098,0.23352945,0.90854585,0.07734847,49.5249
0.49577507,0.41955554,0.88250804,0.07621953,15.373813
0.7060249,0.25944042,1.2132579,0.44658446,63.25336
0.24430521,0.29983175,0.9839973,0.05552654,22.728348
0.36870083,0.3973801,0.8813932,0.028679281,7.778469
1.3014075,4.3665853,0.9032363,3.065178,235.52792
0.669536,0.10364342,1.5649052,0.5658926,84.52011
0.5037958,0.4864,0.9619472,0.017395794,3.4529455
0.49513406,0.4309901,0.9032133,0.064143956,12.954866
0.37317058,0.41273034,0.85106254,0.03955975,10.600983
40.864223,29.476162,0.9260366,11.388062,27.868048
0.50528634,0.57065916,2.0483165,0.065372825,12.937778
0.2784077,0.34064877,1.175904,0.062241077,22.35609
0.5101733,1.335846,2.1588264,0.8256726,161.84158
0.374154,0.0664798,1.2216976,0.3076742,82.231964
0.79128766,1.278445,0.9810942,0.48715734,61.56514
0.34982514,0.7947961,2.086425,0.44497097,127.19811
0.49969658,0.3309065,1.1689354,0.16879007,33.77851
0.36210847,0.0,1.5917286,0.36210847,100.0
0.63582134,0.10364294,2.0559647,0.5321784,83.69936
