y_true,y_pred,abs_error,rel_error_%
7.3823314,10.058108,2.675777,36.24569
0.33543453,0.3980678,0.062633276,18.672281
14.222035,17.221973,2.999938,21.093592
22.181198,24.461727,2.280529,10.281361
623.3465,680.6089,57.26239,9.186286
94.839905,103.57861,8.7387085,9.214169
346.884,275.53616,71.34784,20.568213
39.410427,35.56377,3.8466568,9.760506
354.16843,349.6324,4.5360413,1.2807583
0.7052605,0.9989178,0.2936573,41.63813
734.0374,487.9668,246.07062,33.5229
8.808855,10.723326,1.9144707,21.733479
7.585083,6.779438,0.805645,10.621439
3.5834198,3.3588533,0.22456646,6.26682
603.4379,431.01733,172.4206,28.573044
12.876565,16.046535,3.1699705,24.618137
21.576572,19.835516,1.7410564,8.069199
7.839722,8.62753,0.78780794,10.048926
5.7873306,5.0580597,0.72927094,12.601163
0.6374859,1.0375593,0.40007335,62.75799
70.15384,53.904808,16.249031,23.161999
1.2789097,1.2984989,0.019589186,1.5317099
8.452264,8.710105,0.2578411,3.050557
209.34273,180.1458,29.19693,13.946952
4.019544,4.7973537,0.7778096,19.350693
14.234661,17.868305,3.633644,25.526733
3.4500194,3.8215394,0.37152004,10.768637
16.665356,13.509786,3.15557,18.93491
49.5656,44.208668,5.3569336,10.807765
9.608492,12.744537,3.1360455,32.63827
6.0800714,6.4359083,0.35583687,5.8525114
324.33557,274.49774,49.83783,15.366132
48.034,44.961895,3.0721054,6.3956895
191.67369,154.64969,37.024002,19.316162
84.75864,78.23827,6.520363,7.692859
4.982651,5.231192,0.24854088,4.9881253
47.301697,39.784866,7.5168304,15.891249
9.433824,13.3520155,3.918192,41.533443
16.1411,15.6518955,0.4892044,3.0307996
223.0292,206.36989,16.659317,7.4695673
7.2534823,6.85713,0.3963523,5.464304
4.192521,4.5362587,0.3437376,8.198828
0.69717485,0.88929784,0.192123,27.557362
0.28878388,0.41980964,0.13102576,45.371563
3.1816478,3.30161,0.119962215,3.770443
166.81508,104.72395,62.091125,37.22153
0.8568194,1.0784912,0.22167182,25.871477
101.845665,107.12326,5.2775955,5.181954
51.211597,40.665855,10.545742,20.592487
19.650517,23.864145,4.213629,21.44284
1.1479186,1.2376187,0.0897001,7.8141522
0.15411805,0.22220153,0.06808348,44.17619
11.470302,11.217526,0.2527752,2.2037363
972.54944,837.9439,134.60553,13.840482
476.0608,375.0499,101.010895,21.218067
2.9860446,4.2723303,1.2862856,43.076572
0.8029097,1.3546188,0.5517091,68.71372
31.53077,25.936226,5.5945435,17.743124
12.99251,14.789472,1.7969618,13.830752
37.089542,35.509136,1.5804062,4.261056
6.009507,6.092215,0.08270788,1.3762839
