y_true,y_pred,abs_error,rel_error_%
0.13603465,0.20481269,0.06877804,50.559204
0.058805767,0.19106571,0.13225995,224.90984
0.42941818,0.47347495,0.044056773,10.259644
0.05908566,0.040434595,0.018651064,31.566145
1.5993544,1.2256899,0.3736645,23.363459
0.3403211,0.18363696,0.15668413,46.04009
3.3167822,0.57226276,2.7445195,82.746445
0.049739294,0.036953744,0.01278555,25.70513
0.3980635,2.3217633,1.9236997,483.26453
1.1183522,1.0625494,0.055802822,4.989736
0.69543225,0.31294012,0.38249213,55.000633
0.099005975,0.06749756,0.031508416,31.824762
0.14052692,0.19363156,0.05310464,37.789654
1.5402217,1.2296436,0.3105781,20.164507
0.060912788,0.07703936,0.016126573,26.474855
0.0949753,0.12593722,0.030961923,32.599976
1.9931455,0.24493968,1.7482058,87.71089
0.667172,0.6873169,0.02014488,3.0194433
0.5040214,0.37794155,0.12607986,25.014782
0.10565542,0.106739,0.0010835826,1.0255817
0.11084682,0.17670037,0.06585355,59.40951
0.085506834,0.10777451,0.022267677,26.041986
1.8267267,2.1702766,0.34354997,18.806862
0.20991568,0.22738603,0.017470345,8.322554
0.14395279,0.13067877,0.013274014,9.221088
0.09493379,0.11453947,0.019605674,20.651943
0.36073166,0.3284468,0.032284856,8.949826
0.06282404,0.1153365,0.05251246,83.58657
0.9205571,0.84700537,0.073551714,7.9899135
0.31108603,0.56699574,0.2559097,82.26332
0.07892995,0.17661837,0.097688414,123.76596
5.118193,1.849438,3.2687552,63.865414
0.2618283,0.16087927,0.100949034,38.55543
0.20986496,0.57940483,0.36953986,176.0846
2.368434,2.0762618,0.2921722,12.336093
0.15490174,0.24868424,0.0937825,60.54322
1.8503172,1.1097317,0.74058557,40.024788
0.021476556,0.10427285,0.08279629,385.5194
1.7189592,1.0157504,0.7032088,40.908985
1.481467,1.3461819,0.13528514,9.131836
0.20177655,0.20514275,0.003366202,1.6682822
0.41371387,0.5937748,0.18006092,43.523056
0.1362764,0.17361285,0.037336454,27.397594
0.41052955,0.6881919,0.27766234,67.63516
0.39098576,1.2379203,0.84693456,216.6152
0.7822209,0.627663,0.15455788,19.758854
0.39860827,0.50795174,0.10934347,27.43131
1.243821,1.1872108,0.056610227,4.5513163
1.1544997,0.8392627,0.31523693,27.305069
0.9299115,0.74496377,0.18494773,19.888746
1.4429231,1.231885,0.21103811,14.625735
0.14048314,0.13122852,0.0092546195,6.5877085
