y_true,y_pred,abs_error,rel_error_%
2.133453,3.5018058,1.3683529,64.13795
0.33637708,1.0927491,0.75637203,224.85838
5.6662507,1.1799314,4.4863195,79.176155
71.073875,61.74181,9.332066,13.130093
2708.352,2907.3518,198.99976,7.347633
287.06845,200.01462,87.05383,30.325111
1118.1238,1022.9614,95.16235,8.510896
131.79033,136.9035,5.1131744,3.8797798
1510.4718,1130.1775,380.2943,25.177187
0.38908857,0.78332067,0.3942321,101.321945
3074.904,2391.597,683.3071,22.222063
13.413367,21.084175,7.670808,57.18779
19.53885,24.620241,5.0813904,26.006598
1.1615853,1.4594905,0.2979052,25.646433
4515.1035,4034.8408,480.2627,10.636804
27.506441,40.483532,12.977091,47.17837
20.612946,18.208044,2.4049015,11.666947
17.355911,18.897041,1.5411301,8.879569
3.7414002,2.324275,1.4171252,37.87687
0.48132756,1.2341506,0.7528231,156.40556
272.42426,333.7363,61.312042,22.506088
0.6818637,0.79851866,0.11665493,17.108248
27.351357,29.393904,2.0425472,7.4678097
915.88464,820.31757,95.56708,10.4344015
10.580507,10.751027,0.17051983,1.6116413
46.898792,44.941177,1.9576149,4.1741266
5.6534753,10.4955015,4.842026,85.646904
20.781754,18.185745,2.5960083,12.491767
126.79286,143.36996,16.577103,13.074161
22.822578,34.51411,11.691532,51.22792
13.878307,8.656752,5.2215557,37.623867
1012.5056,867.1025,145.40314,14.3607235
162.7693,154.89154,7.877762,4.839833
1595.2295,1386.7993,208.43018,13.065843
353.2725,410.75723,57.48474,16.272068
4.668611,6.704342,2.0357308,43.604637
119.381386,120.09433,0.71294403,0.59719867
39.909317,38.54066,1.3686562,3.4294152
29.72671,34.15344,4.426729,14.89142
1001.16907,1030.596,29.42688,2.939252
17.723879,16.91246,0.81141853,4.5781093
4.8287506,4.063557,0.76519346,15.846614
1.7623186,3.111494,1.3491755,76.55684
0.13202317,0.52070236,0.3886792,294.40225
3.2740934,4.8277845,1.5536911,47.454086
437.93228,299.66394,138.26834,31.572996
0.40918043,0.44475472,0.035574287,8.694035
437.0408,372.7235,64.31729,14.716541
130.529,149.11385,18.584839,14.238091
24.908188,20.504944,4.403244,17.677898
1.7458152,1.9211028,0.1752876,10.040445
0.14733584,0.16830114,0.020965293,14.229594
48.009033,43.890434,4.118599,8.5788
3204.2527,2749.4502,454.8025,14.193715
7030.331,6110.6367,919.69434,13.081807
2.187452,4.5740757,2.3866236,109.10519
0.39072862,2.9722025,2.5814738,660.682
109.26377,74.39806,34.865707,31.90967
13.650449,17.382145,3.7316961,27.337534
127.59142,113.19014,14.401283,11.28703
18.77917,18.67904,0.100128174,0.53318745
3.1669583,3.045195,0.12176323,3.8448005
5.3268247,6.352755,1.0259304,19.259699
155.07663,126.7882,28.28843,18.241581
46.193195,43.29382,2.899376,6.27663
1.9998122,1.9364014,0.06341088,3.1708417
18.606829,14.2841215,4.322707,23.231833
1203.7141,1179.8676,23.846558,1.9810815
184.20488,162.79054,21.414337,11.625281
63.24754,27.831713,35.415825,55.99558
10.004475,9.740271,0.26420403,2.6408587
