type,K,T1,T2,Td,zeta,omega_n,num,den,sprunghoehe_target,sprungzeit_target,Kp,Ki,Kd,Tu,Tg,Overshoot,Label,type_PT1,type_PT1+Td,type_PT2,type_PT2+Td,ISE
PT1,2.455920281591772,36.23763667170316,0.0,0.0,,,[2.455920281591772],"[36.23763667170316, 1]",1,20,2.7890601842201077,0.7038897371814768,0.5064311590818635,11.905952976488244,3.5017508754377187,0.2609233546045666,good,True,False,False,False,0.0
PT1+Td,2.340705608370487,29.79516251124653,0.0,2.118115655932173,,,[2.340705608370487],"[29.79516251124653, 1]",1,20,2.3740318981226456,0.1226540122839903,0.697000469756287,26.313156578289146,5.102551275637818,0.0360753513643912,good,False,True,False,False,6.051245065148692
PT1+Td,2.9233232740656905,45.47024323762043,0.0,0.7400593226261716,,,[2.9233232740656905],"[45.47024323762043, 1]",1,20,2.680050055793314,0.0874466402686052,0.1054416347818308,31.015507753876932,5.60280140070035,0.0280361144269797,good,False,True,False,False,7.261521858505404
PT1+Td,0.9361506785989298,36.6146084792533,0.0,2.1894843584978605,,,[0.9361506785989298],"[36.6146084792533, 1]",1,20,0.7431328013796935,0.0292807033724314,0.1441884414920853,165.28264132066033,42.82141070535268,0.0031688718640504,good,False,True,False,False,4.227905359616521
PT1,1.2790219213824314,11.853314197287956,0.0,0.0,,,[1.2790219213824314],"[11.853314197287956, 1]",1,20,0.9546923532980882,0.9765848721268192,0.0467422785229074,9.004502251125562,3.301650825412706,0.4082270556301017,good,True,False,False,False,9.210440366976517
PT1,2.245809906295187,43.37166100595374,0.0,0.0,,,[2.245809906295187],"[43.37166100595374, 1]",1,20,1.3714337860478318,0.5104650253883432,0.7644562249446523,17.6088044022011,6.003001500750375,0.4181503091378922,good,True,False,False,False,6.666693180276803
PT2+Td,2.737565244745465,24.88285878166065,1.4774102904604534,0.9587466483910988,,,[2.737565244745465],[36.76219162 26.36026907  1.        ],1,20,1.160078956654758,0.460132754324823,0.5332781569261811,13.006503251625812,4.902451225612806,0.541719248907082,good,False,False,False,True,0.0
PT1,2.460594400628076,25.36070683973917,0.0,0.0,,,[2.460594400628076],"[25.360706839739166, 1]",1,20,0.8456955537335538,0.5187620078888756,0.8380887855896426,13.30665332666333,4.602301150575287,0.4212074752025299,good,True,False,False,False,0.0
PT1,1.8540857283081156,20.371575823006985,0.0,0.0,,,[1.8540857283081154],"[20.371575823006985, 1]",1,20,1.7485241263539777,0.3337656904616928,0.0958564800004689,15.20760380190095,4.502251125562781,0.1762078901841263,good,True,False,False,False,0.0
PT1+Td,1.865697649038674,15.808944901398274,0.0,3.660970866532857,,,[1.865697649038674],"[15.808944901398274, 1]",1,20,2.8357070401443334,0.916535123628207,0.0156836280471215,7.603801900950475,2.2011005502751373,0.1940453916871216,good,False,True,False,False,0.0
PT1,0.910506866396759,8.120765431018974,0.0,0.0,,,[0.910506866396759],"[8.120765431018974, 1]",1,20,1.413367278278794,0.3325748188553508,0.4491013933381207,17.008504252126063,4.902451225612806,0.0675686666617353,good,True,False,False,False,0.0
PT1,1.7904543188602409,40.92905924577398,0.0,0.0,,,[1.7904543188602409],"[40.92905924577398, 1]",1,20,2.3805336661792085,0.776470298211263,0.1593596480342606,14.807403701850925,4.902451225612806,0.36955380391195,good,True,False,False,False,0.0
PT1,1.0652965698358194,49.426818362645605,0.0,0.0,,,[1.0652965698358194],"[49.426818362645605, 1]",1,20,1.4459534635340523,0.8548939983412615,0.9359413817611686,22.01100550275137,8.004002001000499,0.5549776121453188,good,True,False,False,False,8.462161002370578
PT1,0.7205076199611994,36.37241601197204,0.0,0.0,,,[0.7205076199611994],"[36.372416011972035, 1]",1,20,1.743138270125809,0.4188685394913816,0.9135606725605911,32.416208104052025,11.50575287643822,0.342987975059314,good,True,False,False,False,7.754398048118768
PT1,1.6380153222180889,6.671865898438502,0.0,0.0,,,[1.6380153222180889],"[6.671865898438502, 1]",1,20,0.6621696593052646,0.987155959290194,0.6070866703832221,6.4032016008004,2.301150575287644,0.3413351390296271,good,True,False,False,False,0.0
PT2+Td,2.6002832935817244,12.4014726540558,2.3851449984850768,4.997714376264823,,,[2.6002832935817244],[29.57931047 14.78661765  1.        ],1,20,0.9176774015232212,0.0677626057745581,0.579617026864886,21.61080540270135,6.3031515757878935,0.0,good,False,False,False,True,5.120652874766045
PT1,0.6550379875786381,9.245337407858758,0.0,0.0,,,[0.6550379875786381],"[9.245337407858758, 1]",1,20,0.55870115148365,0.8368202563804685,0.2447784942373024,12.906453226613303,5.102551275637818,0.3694809658004431,good,True,False,False,False,0.0
PT2,2.8881900638881004,2.5625414495272167,12.77372982726059,0.0,,,[2.8881900638881004],[32.73321215 15.33627128  1.        ],1,20,2.266555874201058,0.5261551372336195,0.6117675945768212,7.503751875937969,2.901450725362681,0.4500256135271693,good,False,False,True,False,9.210440366976517
PT1+Td,2.062004004390261,1.9687133503527807,0.0,1.3117494182828155,,,[2.0620040043902614],"[1.9687133503527807, 1]",1,20,0.5684864625181852,0.5900558616298881,0.2958468357211667,4.8024012006003,1.4007003501750874,0.0786573007889409,good,False,True,False,False,5.329726192941065
PT1,2.153964679195508,46.25019217930269,0.0,0.0,,,[2.153964679195508],"[46.250192179302694, 1]",1,20,2.0905786952678644,0.7817062795732718,0.3532356218423385,14.507253626813403,4.8024012006003,0.4067182986633835,good,True,False,False,False,0.0
PT1,0.592069616382233,3.846874181775502,0.0,0.0,,,[0.592069616382233],"[3.846874181775502, 1]",1,20,0.619719434467467,0.9513634068848846,0.2658740324840076,8.704352176088044,3.4017008504252124,0.1980388830419668,good,True,False,False,False,8.586882172554908
PT1+Td,0.7262848845038845,34.370124334647016,0.0,2.729979211396617,,,[0.7262848845038845],"[34.370124334647016, 1]",1,20,1.2134911332743106,0.0895490059945067,0.1133336472973846,74.33716858429214,24.212106053026517,0.1061640027700603,good,False,True,False,False,5.867261708180402
PT1,1.0864436365752463,6.29240019720725,0.0,0.0,,,[1.0864436365752463],"[6.29240019720725, 1]",1,20,2.312767155321682,0.8075206685263043,0.9787570712772212,8.204102051025512,2.101050525262631,0.0896492276501267,good,True,False,False,False,0.0
PT1,1.241996493548768,40.59920830605826,0.0,0.0,,,[1.241996493548768],"[40.59920830605826, 1]",1,20,2.110539016047615,0.9845100873192524,0.6094930282863121,16.50825412706353,5.802901450725362,0.4607900935194324,good,True,False,False,False,0.0
PT1,2.1034913922864744,27.6052327535705,0.0,0.0,,,[2.1034913922864744],"[27.6052327535705, 1]",1,20,0.949913288979821,0.4623620635291973,0.3886367922495294,15.507753876938468,5.402701350675337,0.4113877780563747,good,True,False,False,False,0.0
PT2+Td,2.8731632398958853,10.479485677594427,46.44304769984113,4.185564424435019,,,[2.8731632398958853],[486.69925319  56.92253338   1.        ],1,20,2.0455620788681577,0.1659442753532816,0.5004590967982211,29.31465732866433,11.705852926463232,0.6083523092017805,good,False,False,False,True,8.054446057074868
PT1,1.83841597203932,21.46726323195007,0.0,0.0,,,[1.8384159720393196],"[21.46726323195007, 1]",1,20,0.9553780698129922,0.8709059372240684,0.7384439723108781,11.005502751375689,3.901950975487744,0.4696281379928128,good,True,False,False,False,0.0
PT1,0.6132743070880091,35.654310099525446,0.0,0.0,,,[0.6132743070880091],"[35.654310099525446, 1]",1,20,1.9374846372819745,0.0786667104275726,0.4107027369225862,100.15007503751876,25.51275637818909,0.0250838264841216,good,True,False,False,False,5.4685017290322895
