type,K,T1,T2,Td,zeta,omega_n,sprunghoehe_target,sprungzeit_target,Ks,Tu,Tg,method,sprunghoehe_actual,sprungzeit_actual,Kp,Ki,Kd
PT2,1.2978505428153604,48.87926843899936,43.7736202815382,,,,1.98,29.8,1.98,13.020901361140695,53.38108346372554,CHR,1.98,70.0,1.2423169064450654,0.023272605684170247,8.088042949049324
PT1,2.7095276706822005,22.180626243690885,,,,,1.54,17.9,1.54,0.1,14.275761188184676,CHR,1.54,46.6,55.61984878513509,3.896103896103895,2.780992439256755
PT1,2.7494414195661854,0.11010534575446042,,,,,0.71,11.1,0.7099999999999999,0.1,0.23601662990470182,CHR,0.7099999999999999,0.20000000000000004,1.9945067315890297,8.450704225352114,0.0997253365794515
PT2+Td,1.9205136315051363,15.902619715864512,46.24227605544188,0.38123095355424996,,,0.97,2.8,0.97,7.403255081491494,76.15034617704049,ZN,0.97,68.4,12.72502605817106,0.8594210194097094,47.1033069136333
PT2,1.8261316643340333,3.8681043445677803,34.709699463404334,,,,0.63,29.4,0.63,2.42424052292541,70.3823936626867,CHR,0.63,61.7,27.65024776767297,0.3928574509725971,33.51542555366033
D,2.371303736835954,4.908040467121349,,,,,0.93,21.6,0.9299999999999999,0.1,inf,ZN,0.9299999999999999,0.0,inf,inf,inf
PT1,2.3323540138039593,34.13084106696165,,,,,1.78,16.1,1.78,0.1,18.174254319149792,CHR,1.78,61.800000000000004,61.26153141286446,3.370786516853932,3.0630765706432235
PT2,1.013236569879902,22.278661511236116,38.71558382802919,,,,1.69,4.9,1.69,8.112627470472017,48.659499896341224,CHR,1.69,68.3,2.129465719491547,0.043762589505192684,8.637781046687792
PT1,2.436980564747138,31.80366306163599,,,,,0.68,4.6,0.68,0.1,44.81846144342618,CHR,0.68,59.6,395.4570127361133,8.823529411764705,19.772850636805664
PT1,2.4709657744250846,40.46551280059445,,,,,1.74,15.1,1.74,0.1,21.312822515196878,ZN,1.74,66.39999999999999,146.98498286342672,734.9249143171336,7.3492491431713365
D,0.7152795839988573,3.273507624904194,,,,,1.25,8.6,1.25,0.1,-inf,ZN,1.25,0.0,-inf,-inf,-inf
PT1+Td,2.56312137913167,27.980312223890145,,3.8343545201435236,,,0.78,21.2,0.78,3.7998213031134935,38.63972862566421,ZN,0.78,54.4,15.644350511553563,2.058563977565854,29.72286817358785
PT2,1.898483013948496,46.5774241170524,10.466954469856379,,,,1.15,27.7,1.15,5.40254136783626,58.407336464431445,ZN,1.15,67.9,11.28113266078292,1.04405796204954,30.473392937964235
PT1,1.0177141797727345,47.596111483437,,,,,1.63,16.6,1.63,0.1,25.64735991613886,CHR,1.63,69.89999999999999,94.40745981400806,3.680981595092024,4.720372990700404
PT1,1.151264509130046,12.365820469104515,,,,,1.65,8.4,1.65,0.1,7.522447329294391,CHR,1.65,27.1,27.354353924706874,3.6363636363636362,1.3677176962353441
PT2+Td,2.543927411236966,48.46247793558215,44.66279669852124,2.5143981766520898,,,1.51,11.8,1.51,15.600950700778029,67.4225685108187,ZN,1.51,68.2,3.4344605130377333,0.11007215454076316,26.790424573835246
Osc2,2.384122389943348,,,,0.8761576308458825,0.4113458476570421,1.16,15.8,1.16,0.7308606697847748,5.961448491055426,ZN,1.16,6.8,8.43801826443642,5.772658601892796,3.0835078402010825
Osc2,2.067807597458489,,,,0.6046434017000495,0.4530971727727632,1.55,7.8,1.55,0.7789877360857935,3.646571208007817,ZN,1.55,4.200000000000001,3.62412881768766,2.3261783528826423,1.4115759514868969
PT1+Td,2.942743360236406,37.83737625323212,,3.5215676983697457,,,1.36,24.1,1.36,3.4998678556077416,29.212042613560023,ZN,1.36,63.3,7.3646585474785775,1.0521338020917546,12.887665858923539
PT1,2.4516406808795095,26.20997216297305,,,,,1.97,7.8,1.97,0.1,13.035167393901798,CHR,1.97,52.9,39.701017443355724,3.045685279187817,1.9850508721677864
PT2,2.419241927553508,31.103480618860214,34.21935142634377,,,,1.89,14.5,1.89,9.185395524975394,47.19422025298908,CHR,1.89,68.9,1.6310992926835552,0.034561420528613315,7.491146071903029
PT1,0.8096954536739915,12.616877943444466,,,,,1.24,21.2,1.24,0.1,10.211557596170376,ZN,1.24,27.700000000000003,98.82152512422944,494.10762562114706,4.941076256211471
PT2,1.9361551583663008,21.926873390706373,7.547374881804478,,,,1.22,5.2,1.22,3.3700141735838276,34.324267042307085,CHR,1.22,49.800000000000004,5.0091145616860375,0.14593507723011098,8.440393534993545
PT1+Td,0.6037383120482471,12.414546644656896,,2.8745797633426133,,,1.19,13.9,1.19,2.799597248847804,13.312031119468104,CHR,1.19,27.200000000000003,2.397469302543328,0.18009793404382612,3.355974231798682
PT2,2.639506187931744,13.13632917857212,29.50230074695113,,,,1.02,19.3,1.02,5.31776700885497,57.33537440289724,ZN,1.02,61.60000000000001,12.684531221120857,1.1926557895446523,33.72669082523367
